video_id,title,channel_title,published_at,category_id,view_count,like_count,comment_count,duration,video_age_days,views_per_day,like_rate,comment_rate,engagement_rate
KHooqK3Hijs,iShowSpeed vs Jamal Jump Challenge,IShowSpeed,2026-05-19 13:00:21+00:00,20,3294895,157854,2025,PT43S,1,3294895.0,0.047908658697773374,0.0006145871112736521,0.04852324580904702
JpVtso3S9rM,54 Million…….,IShowSpeed,2026-05-16 20:51:57+00:00,20,1762645,65857,2376,PT3H42M4S,4,440661.25,0.03736259995631565,0.0013479742092139938,0.03871057416552964
Yztdy5_sdrk,I WENT SWIMMING WITH SHARKS!! 😳🦈,IShowSpeed,2026-05-12 15:01:01+00:00,20,11958002,299929,4938,PT21S,8,1494750.25,0.02508186568291258,0.00041294523951409276,0.025494810922426673
TlBYGFQ4kGo,ZIPLINING IN PUERTO RICO!,IShowSpeed,2026-05-12 11:00:51+00:00,20,1886098,88257,1587,PT37S,8,235762.25,0.04679343279087301,0.0008414196929321806,0.04763485248380519
S2zQ2pdp3bs,irl stream in Bahamas 🇧🇸 + Shark Diving 🦈,IShowSpeed,2026-05-10 22:27:22+00:00,20,2679665,65301,2079,PT4H31M27S,10,267966.5,0.024369090912483463,0.0007758432490628492,0.025144934161546312
VZfk2anDdY8,irl stream in Jamaica 🇯🇲,IShowSpeed,2026-05-09 00:33:17+00:00,20,3591680,111628,4522,PT6H12M28S,12,299306.67,0.031079606200997863,0.0012590208481824661,0.03233862704918033
nYU0uapT0vk,iShowSpeed vs JAMAICAN SPIDERMAN! 🇯🇲🇯🇲,IShowSpeed,2026-05-08 23:22:42+00:00,20,7352928,249145,2756,PT45S,12,612744.0,0.03388378071973505,0.00037481667167147564,0.03425859739140653
n2XDB_fuv7Y,irl stream in Dominican Republic  🇩🇴,IShowSpeed,2026-05-07 00:17:13+00:00,20,7147783,262096,9500,PT5H26M21S,14,510555.93,0.036668152908391316,0.001329083437479845,0.03799723634587116
EUuMDsBqujg,I GOT BARKMOGGED 🇩🇴🇩🇴,IShowSpeed,2026-05-06 20:24:50+00:00,20,2824003,99285,2497,PT27S,14,201714.5,0.035157540555020655,0.0008842058595546818,0.03604174641457534
4l76M9a8CHk,iShowSpeed Meets Dominican Michael Jackson! 🇩🇴🇩🇴,IShowSpeed,2026-05-06 20:09:37+00:00,20,3497150,96715,2232,PT23S,14,249796.43,0.02765537652088129,0.0006382339905351501,0.02829361051141644
