video_id,title,channel_title,published_at,category_id,view_count,like_count,comment_count,duration,video_age_days,views_per_day,like_rate,comment_rate,engagement_rate
j8yO0LkqA7s,林俊傑 JJ Lin《我對緣分小心翼翼 Careful with Fate》Official Music Video,JJ Lin林俊傑,2026-02-27 05:49:23+00:00,10,3991005,28694,1221,PT4M33S,83,48084.4,0.007189667765387415,0.0003059379780280907,0.007495605743415506
JwyY1bizbSQ,林俊傑 JJ Lin /  孫燕姿 Sun Yanzi - 《逆光》Against The Light - JJ20 FINAL LAP 北京現場版 Live in Beijing,JJ Lin林俊傑,2026-02-26 04:00:03+00:00,10,1187436,9090,425,PT4M58S,84,14136.14,0.007655149414368437,0.0003579140265243769,0.008013063440892814
1KIenukE7g4,林俊傑 JJ Lin /  張藝興 Lay Zhang - 《翅膀》Wings - JJ20 FINAL LAP 北京現場版 Live in Beijing,JJ Lin林俊傑,2026-02-07 10:00:07+00:00,10,476895,3603,233,PT3M45S,102,4675.44,0.007555122196709968,0.0004885771501064176,0.008043699346816386
e6R8LrPxA-Y,林俊傑 JJ Lin /  潘瑋柏 Will Pan - 《Moonlight》- JJ20 FINAL LAP 北京現場版 Live in Beijing,JJ Lin林俊傑,2026-02-01 06:00:33+00:00,10,122609,1601,163,PT3M36S,109,1124.85,0.01305776900553793,0.0013294293241116067,0.014387198329649537
LbnyAQY4q1Q,林俊傑 JJ Lin /  王心凌 Cyndi Wang - 《當你》Whenever - JJ20 FINAL LAP 北京現場版 Live in Beijing,JJ Lin林俊傑,2025-12-15 13:00:34+00:00,10,958343,6778,427,PT4M12S,156,6143.22,0.007072624310919994,0.00044556072303966325,0.007518185033959657
F6QApo6IDm0,林俊傑 JJ Lin /  李玖哲 Nicky Lee - 《圍牆》Wall - JJ20 FINAL LAP 北京現場版 Live in Beijing,JJ Lin林俊傑,2025-10-22 10:00:04+00:00,10,420204,3430,262,PT3M42S,210,2000.97,0.00816270192573131,0.0006235066777089223,0.008786208603440234
euDTzATCj4A,"林俊傑 JJ Lin /  A-Lin - 《輸了你贏了世界又如何》Losing You, What Does It Matter If I Win The World- JJ20 Beijing",JJ Lin林俊傑,2025-10-16 10:00:21+00:00,10,2433040,13588,471,PT4M40S,216,11264.07,0.005584782823134844,0.000193584980107191,0.005778367803242035
IImFrWwyp7o,林俊傑 JJ Lin《明日座標 Atlas of Tomorrow》幕後花絮 Official Behind The Scenes,JJ Lin林俊傑,2025-10-14 13:00:22+00:00,10,19223,761,152,PT4M38S,218,88.18,0.039587993549393956,0.007907194506580659,0.047495188055974615
Ra6tyMqBoss,林俊傑 JJ Lin《明日座標 Atlas of Tomorrow》Official Music Video,JJ Lin林俊傑,2025-10-11 01:00:05+00:00,10,2250258,12487,712,PT5M1S,222,10136.3,0.005549141476221838,0.00031640816297509,0.0058655496391969274
gXk3f9KC6ec,林俊傑 JJ Lin /  蘇慧倫 Tarcy Su - 《Lemon Tree》- JJ20 FINAL LAP 北京現場版 Live in Beijing,JJ Lin林俊傑,2025-10-07 10:00:08+00:00,10,313282,3025,273,PT4M12S,225,1392.36,0.00965583723290837,0.0008714193601930529,0.010527256593101423
stdbnBaTRek,林俊傑 JJ Lin 《瞬間的瞬間 Blink of Eternity》(電影《他年她日 Measure In Love》主題曲) Official Music Video,JJ Lin林俊傑,2025-10-03 17:21:20+00:00,10,1596811,7323,401,PT4M59S,229,6972.97,0.004586015502147718,0.00025112552456114094,0.004837141026708859
bLP75qXcvtg,林俊傑 JJ Lin /  張信哲Jeff Chang《過火》Over The Edge JJ20 FINAL LAP 北京現場版 Live in Beijing,JJ Lin林俊傑,2025-09-11 12:00:21+00:00,10,2865807,15349,962,PT5M9S,251,11417.56,0.005355908475343943,0.0003356820609343197,0.005691590536278263
CzyvCMVu--Q,林俊傑 JJ Lin /  懷秋 Harry Chang《DELETE》JJ20 FINAL LAP 北京現場版 Live in Beijing,JJ Lin林俊傑,2025-09-08 10:00:15+00:00,10,153902,1646,178,PT3M48S,254,605.91,0.01069511767228496,0.0011565801614014113,0.011851697833686371
XhMV-Ci8D_g,林俊傑 JJ Lin & 成龍 Jackie Chan《Skibidi》MV 幕後花絮 Official Behind The Scenes,JJ Lin林俊傑,2025-09-07 10:01:32+00:00,10,16867,624,85,PT3M5S,255,66.15,0.036995316298096874,0.005039426098298452,0.042034742396395326
jiawzYgfkuI,林俊傑 JJ Lin & 成龍 Jackie Chan《Skibidi》Official Music Video,JJ Lin林俊傑,2025-09-02 10:00:07+00:00,10,3806096,51759,3114,PT3M25S,260,14638.83,0.013598973856676237,0.0008181611814310517,0.01441713503810729
DbbxsxVXTo8,林俊傑 JJ Lin /  顏人中 Ele Yan《晚安》Good Night - JJ20 FINAL LAP 北京現場版 Live in Beijing,JJ Lin林俊傑,2025-08-23 10:34:41+00:00,10,1477437,9696,619,PT4M48S,270,5471.99,0.006562716379784722,0.0004189687952853489,0.006981685175070071
Mbul0ebavyk,林俊傑 JJ Lin JJ20 FINAL LAP Vlog #12: Beijing Highlights - Part 2,JJ Lin林俊傑,2025-08-13 10:00:06+00:00,10,32374,1275,191,PT14M59S,280,115.62,0.039383455859640454,0.00589979613269908,0.045283251992339534
l1wiQK9RJdw,林俊傑 JJ Lin 《絕不絕+黑暗騎士》 SHUT UP /  The Dark Knight - JJ20 FINAL LAP 北京現場版 Live in Beijing,JJ Lin林俊傑,2025-08-12 10:00:05+00:00,10,161449,1659,225,PT6M33S,281,574.55,0.010275690775415146,0.0013936289478411138,0.011669319723256261
RZNi1BxxBiE,林俊傑 JJ Lin 《明天 + 黑武士》 Tomorrow /  Lord Vader - JJ20 FINAL LAP 北京現場版 Live in Beijing,JJ Lin林俊傑,2025-08-06 10:00:01+00:00,10,117268,1746,187,PT5M43S,287,408.6,0.014888972268649589,0.00159463792338916,0.01648361019203875
sRzYHuzYm-Y,林俊傑 JJ Lin JJ20 FINAL LAP Vlog #11: Beijing Highlights - Part 1,JJ Lin林俊傑,2025-08-03 04:00:03+00:00,10,33928,1177,129,PT12M24S,291,116.59,0.03469111058712568,0.0038021692996934686,0.038493279886819144
E8gYVCxQ07A,林俊傑 JJ Lin /  宋雨琦 YUQI《FREAK》 - JJ20 FINAL LAP 首爾現場版 Live in Seoul,JJ Lin林俊傑,2025-07-31 12:09:06+00:00,10,339098,6585,246,PT3M4S,293,1157.33,0.01941916496116167,0.000725453998549092,0.020144618959710762
pHhk2Vp_wvU,林俊傑 JJ Lin & A-Lin 《在月蝕裡抱緊我 Hold Me Close》MV 幕後花絮 Official Behind The Scenes,JJ Lin林俊傑,2025-07-30 09:01:21+00:00,10,19254,892,112,PT4M12S,294,65.49,0.046328035732834734,0.005816973096499429,0.052145008829334163
E6WMrCdC_rs,林俊傑 JJ Lin & A-Lin 《在月蝕裡抱緊我 Hold Me Close》Official Music Video,JJ Lin林俊傑,2025-07-06 04:00:07+00:00,10,2380770,17104,958,PT4M23S,319,7463.23,0.0071842303120419025,0.0004023908231370523,0.007586621135178955
jRFT5yuwD24,林俊傑 JJ Lin JJ20 FINAL LAP Vlog #10:  Seoul Highlights,JJ Lin林俊傑,2025-06-27 04:10:14+00:00,10,57791,1155,144,PT12M2S,328,176.19,0.019985810939419632,0.0024917374677717982,0.02247754840719143
pN-bBGZTPgU,林俊傑 JJ Lin /  金鐘國 Kim Jong Kook《恨幸福來過》Hate That Happiness Came - JJ20 FINAL LAP 首爾現場版 Live in Seoul,JJ Lin林俊傑,2025-06-24 12:00:05+00:00,10,558147,5235,226,PT3M42S,330,1691.35,0.009379249552537236,0.0004049112509786848,0.009784160803515919
-2JuxaFunDA,"林俊傑 JJ Lin/A-Lin《有一種悲傷+失戀無罪》A Kind of Sorrow/Lovelorn,Not Guilty-JJ20 FINAL LAP 台北現場版 Live in Taipei",JJ Lin林俊傑,2025-06-19 10:00:23+00:00,10,2488040,17085,734,PT5M14S,335,7426.99,0.0068668510152569895,0.0002950113342229225,0.007161862349479912
KdD-SsSg8LA,林俊傑 JJ Lin JJ20 FINAL LAP Vlog #9:  Taipei Highlights,JJ Lin林俊傑,2025-06-14 08:56:03+00:00,10,59158,2503,378,PT12M20S,340,173.99,0.04231042293519051,0.006389668345785862,0.04870009128097637
D-_kqJX5HC0,林俊傑 JJ Lin /   韋禮安 WeiBird 《如果可以》 Red Scarf - JJ20 FINAL LAP 台北現場版 Live in Taipei,JJ Lin林俊傑,2025-06-14 02:00:22+00:00,10,4863381,30343,1174,PT4M32S,341,14262.11,0.006239075244156277,0.00024139585198034043,0.0064804710961366176
WGDOiW8G4DA,林俊傑 JJ Lin JJ20 FINAL LAP Vlog #8: Hong Kong Highlights,JJ Lin林俊傑,2025-06-06 04:07:49+00:00,10,63551,1431,127,PT14M5S,349,182.09,0.02251734827146701,0.001998394989850671,0.024515743261317682
aG8uIj3YpJ8,林俊傑 JJ Lin /   任賢齊 Richie Jen 《心太軟》 Too Softhearted - JJ20 FINAL LAP 香港現場版 Live in Hong Kong,JJ Lin林俊傑,2025-06-04 06:40:43+00:00,10,2288514,9431,335,PT5M28S,351,6519.98,0.004121014772031108,0.00014638319887927276,0.004267397970910381
v-xBlpUKUDk,林俊傑 JJ Lin /  MC 張天賦《記憶棉》 Pillow Talk - JJ20 FINAL LAP 香港現場版 Live in Hong Kong,JJ Lin林俊傑,2025-05-30 10:01:17+00:00,10,2584925,20366,881,PT4M37S,355,7281.48,0.007878758571331856,0.0003408222675706258,0.008219580838902483
hfAKHSTeiLs,林俊傑 JJ Lin JJ20 FINAL LAP Vlog #7: Kuala Lumpur Highlights,JJ Lin林俊傑,2025-05-17 12:00:07+00:00,10,54626,1696,149,PT10M27S,368,148.44,0.031047486544868743,0.0027276388532933037,0.03377512539816205
aBdcIKNBMXE,林俊傑 JJ Lin /  林宇中 Rynn Lim  《靠岸》 Porting - JJ20 FINAL LAP 吉隆坡現場版 Live in Kuala Lumpur,JJ Lin林俊傑,2025-05-15 12:00:13+00:00,10,1664351,9058,495,PT3M46S,370,4498.25,0.0054423616172309805,0.00029741322593611563,0.0057397748431670965
-8apDJCA6Do,林俊傑 JJ Lin JJ20 FINAL LAP Vlog #6: Sydney & Melbourne Highlights,JJ Lin林俊傑,2025-04-24 04:01:15+00:00,10,37622,939,162,PT14M46S,392,95.97,0.02495880070171708,0.00430599117537611,0.02926479187709319
akuQ8_64RVU,林俊傑 JJ Lin 《原來 + 忘記》 Truth /  Forget - JJ20 FINAL LAP 墨爾本現場版 Live in Melbourne,JJ Lin林俊傑,2025-04-16 03:00:12+00:00,10,428168,2833,206,PT2M4S,400,1070.42,0.006616561723435661,0.00048111956054632763,0.007097681283981989
2QQ0DAUl4lM,林俊傑 JJ Lin JJ20 FINAL LAP Vlog #5: Paris Highlights,JJ Lin林俊傑,2025-04-02 06:00:09+00:00,10,28686,892,155,PT13M24S,414,69.29,0.031095307815659206,0.005403332636129122,0.03649864045178833
u3vedApp_0Y,林俊傑 JJ Lin JJ20 FINAL LAP Vlog #4: London Highlights,JJ Lin林俊傑,2025-03-18 10:00:03+00:00,10,34481,926,118,PT7M29S,428,80.56,0.026855369623850815,0.0034221745309010758,0.030277544154751892
DsF1Ao14g40,"林俊傑 JJ Lin JJ20 FINAL LAP Vlog #3: San Francisco, New York & Boston Highlights",JJ Lin林俊傑,2025-03-05 04:00:41+00:00,10,46227,1174,215,PT17M54S,442,104.59,0.025396413351504533,0.004650961559261904,0.030047374910766436
RLNwVWuE5tI,林俊傑 JJ Lin JJ20 FINAL LAP Vlog #2: Los Angeles & Toronto Highlights,JJ Lin林俊傑,2025-02-19 07:41:17+00:00,10,37856,1037,119,PT14M49S,455,83.2,0.02739327979712595,0.003143491124260355,0.030536770921386305
F8bNZbRSS3Y,林俊傑 JJ Lin 《因你而在》 You N Me - JJ20 FINAL LAP 洛杉磯站現場版 Live in Los Angeles,JJ Lin林俊傑,2025-02-15 23:22:36+00:00,10,108173,1531,141,PT4M41S,459,235.67,0.014153254508980985,0.0013034675935769554,0.01545672210255794
y1NsR5BcAQw,林俊傑 JJ Lin JJ20 FINAL LAP Vlog #1: Singapore,JJ Lin林俊傑,2025-01-08 10:00:09+00:00,10,65022,1732,332,PT13M58S,497,130.83,0.02663713819937867,0.005105964135215773,0.031743102334594445
Boc-FMGfCiA,"林俊傑 JJ Lin ""Turn Of A Page"" Official Music Video",JJ Lin林俊傑,2024-12-31 13:30:06+00:00,10,182051,2765,225,PT4M18S,505,360.5,0.015188051699798408,0.001235917407759364,0.016423969107557772
o0JEtPYT9U0,林俊傑 JJ Lin 《光陰副本 · Above The Fray》 MV 幕後花絮 Official Behind The Scenes,JJ Lin林俊傑,2024-12-27 10:30:06+00:00,10,21288,741,89,PT4M7S,509,41.82,0.03480834272829763,0.00418075911311537,0.038989101841413
5RYCvjd5dno,林俊傑 JJ Lin 《光陰副本 · Above The Fray》 Official Music Video,JJ Lin林俊傑,2024-12-26 05:25:27+00:00,10,3123844,8148,596,PT4M38S,511,6113.2,0.002608324871536479,0.00019079057725033643,0.002799115448786815
nTe2h_vf7v4,林俊傑 JJ Lin 《光陰副本 · Above The Fray》“Turn Of A Page” Launching Dec 24th,JJ Lin林俊傑,2024-12-23 12:17:06+00:00,10,44989,1359,122,PT26S,513,87.7,0.03020738402720665,0.0027117739891973592,0.03291915801640401
2ZcwdE2Gnjs,林俊傑 JJ Lin 《光陰副本 · Above The Fray》“Turn Of A Page” Coming Soon,JJ Lin林俊傑,2024-12-22 09:44:43+00:00,10,29035,1259,142,PT16S,514,56.49,0.04336146030652661,0.00489064921646289,0.04825210952298949
VmVeeLgRaqM,林俊傑 JJ Lin JJ20 World Tour 2024 Vlog #37: Chongqing,JJ Lin林俊傑,2024-11-20 13:00:54+00:00,10,47227,1189,219,PT18M52S,546,86.5,0.025176276282634934,0.004637177885531581,0.029813454168166515
