video_id,title,channel_title,published_at,category_id,view_count,like_count,comment_count,duration,video_age_days,views_per_day,like_rate,comment_rate,engagement_rate
NnvIwG0S8WE,Tennis Ball Cannon vs Human Strength,Mark Rober,2026-05-14 13:00:44+00:00,28,16424467,289010,370,PT30S,6,2737411.17,0.017596309213565347,2.2527367250334516e-05,0.017618836580815683
IEJALLQFmDs,You’re Breathing Dinosaur Breath!,Mark Rober,2026-04-30 16:00:29+00:00,28,5522875,120123,842,PT38S,20,276143.75,0.02175008487427291,0.0001524568272865129,0.021902541701559423
6VCyrdMLrcY,Engineering a $1 Cup of Lemonade #AdobePartner,Mark Rober,2026-04-16 16:00:10+00:00,28,8829168,184295,519,PT1M4S,34,259681.41,0.02087342771142196,5.878243567230797e-05,0.020932210147094267
S7UM5lSgAg8,I Engineered The Perfect First Date,Mark Rober,2026-04-11 13:00:44+00:00,28,14475350,215915,4403,PT27M31S,39,371162.82,0.01491604693496185,0.0003041722652647432,0.015220219200226592
GOmQwinZKtE,Testing Every Seat on a Log Ride,Mark Rober,2026-04-03 15:48:41+00:00,28,16454603,235997,445,PT35S,47,350097.94,0.014342308957560387,2.7044104315369992e-05,0.014369353061875756
wJMrk69WOdw,The SECRET to Fighting Laundry Stains #TidePartner,Mark Rober,2026-03-17 15:01:40+00:00,28,68367159,339226,712,PT1M27S,64,1068236.86,0.004961826774167989,1.0414356986809997e-05,0.004972241131154799
VZ0oIzvzkGI,Secret To Defusing A Soda Grenade,Mark Rober,2026-03-06 16:00:46+00:00,28,14454759,331319,813,PT48S,75,192730.12,0.022921101624731342,5.6244452086679547e-05,0.022977346076818023
Xg1ro-zG7AM,Engineers vs Junkyard RC Car Death Match,Mark Rober,2026-02-21 16:00:28+00:00,28,26083748,154523,2311,PT18M52S,88,296406.23,0.005924110292738605,8.859923044801691e-05,0.006012709523186621
YPOfYntrrcU,Your fingers are actually a clock,Mark Rober,2026-02-20 18:33:58+00:00,28,4675403,167805,839,PT36S,89,52532.62,0.03589102372565531,0.00017944977149563364,0.036070473497150944
9BsQpGhwVAY,pride comes before flop,Mark Rober,2026-02-11 19:00:04+00:00,28,111072963,990824,1944,PT39S,98,1133397.58,0.008920478694711692,1.7502009017261922e-05,0.008937980703728953
kgSHJhX6ly0,Can You Ship A Potato Through The Mail?,Mark Rober,2026-02-06 17:01:15+00:00,28,12666228,293494,10152,PT42S,103,122973.09,0.023171381408893004,0.0008015014414709731,0.023972882850363975
X_rh2S74UJs,Why MRI Machines Are So Dangerous,Mark Rober,2026-01-23 17:00:51+00:00,28,21555619,634874,2496,PT1M,117,184236.06,0.029452830837286555,0.00011579347361817817,0.029568624310904734
c4dH8MpXYH4,Disney’s Secret for Making Ghosts REAL,Mark Rober,2026-01-10 16:00:56+00:00,28,12806787,333479,796,PT48S,130,98513.75,0.02603923997486645,6.21545435244609e-05,0.026101394518390914
lSDoCbQsKxY,Why The Weatherman Is Always Wrong!,Mark Rober,2025-12-24 18:12:40+00:00,28,10094214,239388,814,PT1M5S,147,68668.12,0.02371536803162683,8.064025589312848e-05,0.02379600828751996
qsJgJjOG5tY,How Close To Beat My Goalie Robot?,Mark Rober,2025-12-16 16:49:37+00:00,28,10979709,160196,422,PT26S,155,70836.83,0.014590186315502534,3.8434534102861925e-05,0.014628620849605395
lNOjw3KRsqg,How Superglue Actually Works,Mark Rober,2025-12-08 21:53:15+00:00,28,10409736,278004,945,PT52S,163,63863.41,0.026706152778514267,9.078040019458707e-05,0.026796933178708855
oZOCmEDROHY,Help Me Pass Ronaldo in Subscribers!,Mark Rober,2025-12-05 16:02:26+00:00,28,15222532,357642,2336,PT50S,166,91702.0,0.023494251810408415,0.00015345673111411427,0.023647708541522528
AGUO3YQ_Y38,Ronaldo vs My Goalie Robot,Mark Rober,2025-11-28 20:31:41+00:00,28,32960407,374136,2307,PT58S,173,190522.58,0.011351073425762005,6.999306774336858e-05,0.011421066493505374
jjpjjcMeujM,Ronaldo vs My Unbeatable Goalie Robot,Mark Rober,2025-11-28 18:10:06+00:00,28,40479791,733624,14230,PT26M34S,173,233987.23,0.018123216100596962,0.0003515334355357714,0.018474749536132734
jfUU24gaqNg,3 Levels of Elephant Toothpaste,Mark Rober,2025-11-22 17:37:17+00:00,28,243874996,2363671,4187,PT36S,179,1362430.15,0.009692141624883922,1.7168631752637734e-05,0.00970931025663656
pLtHyLlLt4Y,How to Escape Alcatraz With Basic Engineering,Mark Rober,2025-11-15 18:55:20+00:00,28,31371167,460642,5681,PT25M13S,186,168662.19,0.014683610590578286,0.0001810898523475394,0.014864700442925824
PrWBvvwZ-4o,How Do Hot Air Balloons Actually Steer?,Mark Rober,2025-11-14 18:01:58+00:00,28,2989774,95836,459,PT1M19S,187,15988.1,0.032054596768852764,0.00015352330978863284,0.0322081200786414
0XgcOz95hTs,I Blew Up A 24 Story Building,Mark Rober,2025-11-01 15:00:41+00:00,28,20179608,282063,5344,PT22M7S,200,100898.04,0.013977625333455437,0.0002648217943579479,0.014242447127813385
ZGhPz6FINWA,YouTuber Argues With Cop…,Mark Rober,2025-10-31 15:30:25+00:00,28,17173120,520666,1872,PT1M1S,201,85438.41,0.030318660790817277,0.00010900756531137033,0.03042766835612865
oSfubCtcyHo,First Object Faster Than Sound!,Mark Rober,2025-10-22 15:01:33+00:00,28,19140277,391571,1989,PT39S,210,91144.18,0.020457958889518683,0.0001039169913789649,0.020561875880897647
q2C1JpQi5G4,Uncovering America's Underwater City,Mark Rober,2025-10-11 15:00:05+00:00,28,27195613,366576,4417,PT20M47S,221,123057.07,0.013479232845385762,0.00016241590141762938,0.013641648746803391
mnDe3BaEBxc,Jumping On A Moving Train… For Science!,Mark Rober,2025-10-09 16:06:53+00:00,28,24770945,595243,1850,PT1M7S,223,111080.47,0.024029886627256247,7.468427223910916e-05,0.024104570899495355
D1sCU41SRVU,How Do Spider Legs Actually Work?,Mark Rober,2025-09-27 14:49:02+00:00,28,66350897,1929044,3469,PT1M25S,235,282344.24,0.029073367312577553,5.228263907268654e-05,0.029125649951650238
3x0MQxcYqmE,Sharpest Thing In The World!,Mark Rober,2025-09-19 17:00:06+00:00,28,151134655,3414453,6625,PT55S,243,621953.31,0.022592124883601315,4.383508203330335e-05,0.022635959965634618
dmr0Q5ambKk,Testing If You Can Breathe Underwater!,Mark Rober,2025-09-12 15:00:22+00:00,28,109406630,2571150,5261,PT1M13S,250,437626.52,0.02350086096244807,4.808666531452436e-05,0.023548947627762596
